Ticker,ANGELONE.NS,AXISBANK.NS,DLF.NS,MCLOUD.NS,MEESHO.NS,SUMICHEM.NS,SWIGGY.NS,TATAPOWER.NS,URBANCO.NS,WIPRO.NS
ANGELONE.NS,1.0,0.37,0.54,0.22,0.07,0.38,0.27,0.38,0.23,0.24
AXISBANK.NS,0.37,1.0,0.52,0.14,0.13,0.22,0.24,0.25,0.17,0.1
DLF.NS,0.54,0.52,1.0,0.3,0.12,0.45,0.4,0.49,0.28,0.33
MCLOUD.NS,0.22,0.14,0.3,1.0,0.11,0.14,0.2,0.18,0.22,0.14
MEESHO.NS,0.07,0.13,0.12,0.11,1.0,0.02,0.12,0.03,0.16,-0.07
SUMICHEM.NS,0.38,0.22,0.45,0.14,0.02,1.0,0.16,0.27,0.19,0.21
SWIGGY.NS,0.27,0.24,0.4,0.2,0.12,0.16,1.0,0.25,0.34,0.22
TATAPOWER.NS,0.38,0.25,0.49,0.18,0.03,0.27,0.25,1.0,0.2,0.22
URBANCO.NS,0.23,0.17,0.28,0.22,0.16,0.19,0.34,0.2,1.0,0.14
WIPRO.NS,0.24,0.1,0.33,0.14,-0.07,0.21,0.22,0.22,0.14,1.0
